stcc2,date,actual,pred_xgb,baseline_seasonal,baseline_persistence,n_train
33,2023-06-01,4.773584,4.558527946472168,4.411225,4.748511,245
33,2023-07-01,4.26917,4.604864120483398,4.460849,4.773584,246
33,2023-08-01,4.652533,4.525865077972412,4.741205,4.26917,247
33,2023-09-01,4.370469,4.518373966217041,4.404005,4.652533,248
33,2023-10-01,4.459068,4.429023265838623,4.242919,4.370469,249
33,2023-11-01,4.371722,4.19186544418335,3.991428,4.459068,250
33,2023-12-01,4.447964,4.23097038269043,4.12418,4.371722,251
33,2024-01-01,3.551799,4.452315330505371,4.590175,4.447964,252
33,2024-02-01,4.538362,3.839987277984619,4.251708,3.551799,253
33,2024-03-01,4.608169,4.382907390594482,4.771186,4.538362,254
33,2024-04-01,4.628314,4.542093276977539,4.468845,4.608169,255
33,2024-05-01,4.418126,4.5572285652160645,4.748511,4.628314,256
33,2024-06-01,4.45609,4.466158866882324,4.773584,4.418126,257
33,2024-07-01,4.337333,4.542099475860596,4.26917,4.45609,258
33,2024-08-01,4.046734,4.327826976776123,4.652533,4.337333,259
33,2024-09-01,4.21092,4.1548848152160645,4.370469,4.046734,260
33,2024-10-01,4.055075,4.204129219055176,4.459068,4.21092,261
33,2024-11-01,3.698386,4.138317108154297,4.371722,4.055075,262
33,2024-12-01,4.307786,4.04221773147583,4.447964,3.698386,263
34,2019-01-01,0.05916,0.07869972288608551,0.08,0.06884,192
34,2019-02-01,0.06624,0.07839982956647873,0.06432,0.05916,193
34,2019-03-01,0.06852,0.07839968800544739,0.08628,0.06624,194
34,2019-04-01,0.070224,0.08249779790639877,0.08156,0.06852,195
34,2019-05-01,0.07188,0.07972658425569534,0.0972,0.070224,196
34,2019-06-01,0.06076,0.07550504803657532,0.09552,0.07188,197
34,2019-07-01,0.09748,0.07321558892726898,0.108608,0.06076,198
34,2019-08-01,0.08748,0.07998912036418915,0.119256,0.09748,199
34,2019-09-01,0.0688,0.0881599634885788,0.08072,0.08748,200
